Season,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,,,,,,,,,,,,
2018,72,72,2018-03-21,@,CLE,L,129,132,139.3,142.5,92.6,0.261,0.386,0.657,50,68.1,4.3,9.3,,0.619,5.8,25.6,0.227,,0.699,9.1,85.2,0.295,15,24,0.625,23,28,0.821,4,33,28,3,4,9,18
2018,73,73,2018-03-23,,BRK,W,116,112,115.1,111.1,100.8,0.337,0.326,0.587,51.8,63.4,5,12.3,,0.558,9.2,12.5,0.233,,0.554,8.4,88.4,0.226,11,27,0.407,19,31,0.613,5,40,21,5,9,9,23
2018,74,74,2018-03-25,,LAC,L,106,117,108.3,119.6,97.9,0.152,0.391,0.54,52.2,58.5,3.1,7.8,,0.533,12.5,28.9,0.087,,0.505,7,74.5,0.221,8,18,0.444,21,27,0.778,12,44,17,7,5,8,16
2018,75,75,2018-03-27,,DEN,W,114,110,122.7,118.4,92.9,0.098,0.37,0.594,48.1,70.2,6.5,27.1,,0.582,8.6,23.1,0.076,,0.545,10.4,73.7,0.146,13,30,0.433,13,14,0.929,10,40,26,6,6,11,16
2018,76,76,2018-03-31,@,BOS,L,99,110,105,116.6,94.3,0.275,0.438,0.552,52.9,62.2,1.1,7,,0.513,14.3,21.4,0.213,,0.494,4.8,82.2,0.261,7,17,0.412,23,27,0.852,8,41,19,6,3,5,23
2018,77,77,2018-04-03,@,CLE,L,106,112,107.3,113.3,98.8,0.149,0.362,0.529,52.3,66.7,7.1,2.1,,0.505,9.9,18.4,0.117,,0.578,11.9,94.9,0.299,13,30,0.433,23,26,0.885,2,42,18,8,6,12,17
2018,78,78,2018-04-04,,BOS,W,96,78,104.7,85,91.7,0.087,0.359,0.503,52.7,57.5,10.9,11.3,,0.489,9.5,25.5,0.065,,0.353,15.5,81.8,0.333,3,22,0.136,25,28,0.893,8,43,10,7,3,16,16
2018,79,79,2018-04-06,,IND,W,92,73,96.4,76.5,95.4,0.19,0.357,0.505,54.2,75,9.4,12.1,,0.482,17.3,22,0.131,,0.339,11.1,78.2,0.161,7,21,0.333,14,20,0.7,12,44,16,8,8,12,21
2018,80,80,2018-04-08,,ORL,W,112,101,113.1,102,99,0.308,0.513,0.632,52.8,71.8,8.1,7.6,,0.609,16.1,14.3,0.218,,0.511,9.4,87.2,0.112,7,23,0.304,10,17,0.588,6,42,25,12,4,10,17
2018,81,81,2018-04-09,@,DET,W,108,98,123.5,112,87.5,0.046,0.448,0.608,59.3,58.7,3.4,10.4,,0.598,9.2,21.6,0.046,,0.506,3.3,90.9,0.244,9,30,0.3,19,25,0.76,4,33,22,7,2,3,11
2018,82,82,2018-04-11,@,MIA,L,109,116,106.6,113.4,92.6,0.228,0.326,0.538,45.6,57.1,4.9,12.5,,0.505,11.4,19.6,0.174,,0.486,7.3,66.7,0.123,11,26,0.423,13,20,0.65,19,56,26,8,7,9,18
2017,1,1,2016-10-26,,DET,W,109,91,114.5,95.6,95.2,0.337,0.209,0.552,56,41.5,8.4,0,,0.494,10,30.4,0.279,,0.44,12.2,82.2,0.202,4,22,0.182,17,22,0.773,8,40,17,8,0,13,24
2017,2,2,2016-10-28,,CLE,L,91,94,96.9,100.1,93.9,0.2,0.178,0.465,56,34.3,9.6,6.4,,0.411,15.5,36.7,0.189,,0.494,16.1,78.6,0.203,12,32,0.375,16,22,0.727,9,40,20,8,3,17,15
2017,3,3,2016-10-31,,DEN,W,105,102,114.9,111.6,91.4,0.284,0.182,0.53,48.3,39,7.7,15.3,,0.489,6.6,23.9,0.216,,0.463,7.7,74.4,0.333,9,22,0.409,27,35,0.771,11,46,14,2,9,8,18
2017,4,4,2016-11-02,@,WAS,W,113,103,118,107.6,95.7,0.325,0.325,0.642,46.3,48.8,16.7,3.2,,0.623,12.9,11.8,0.221,,0.604,19.5,81.8,0.222,3,10,0.3,16,24,0.667,6,36,21,8,5,20,20
2017,5,5,2016-11-04,,MIA,W,96,87,104.2,94.5,92.1,0.214,0.298,0.522,53.8,37.8,7.6,8.3,,0.476,14,29.5,0.19,,0.438,12.1,75.5,0.114,9,28,0.321,10,15,0.667,12,43,19,10,5,13,22
2017,6,6,2016-11-06,,SAC,L,91,96,106.1,111.9,85.8,0.369,0.357,0.466,47.8,73.3,7,8.1,,0.399,5.8,27.7,0.286,,0.468,8.9,69.8,0.295,5,16,0.313,23,31,0.742,13,47,21,4,5,9,22
2017,7,7,2016-11-09,@,OKC,W,112,102,120,109.3,93.3,0.265,0.313,0.604,47.3,58.1,10.7,15,,0.584,10.6,20,0.181,,0.5,17.8,71.8,0.378,12,34,0.353,28,31,0.903,11,39,18,6,5,19,21
2017,8,8,2016-11-11,@,CHO,W,113,111,119.2,117.1,94.8,0.244,0.244,0.567,44.1,41.9,8.4,9.6,,0.511,4.8,17,0.233,,0.5,9.6,67.3,0.194,17,41,0.415,18,24,0.75,18,57,22,1,4,11,16
2017,9,9,2016-11-12,,NYK,W,118,107,119.6,108.5,98.6,0.458,0.265,0.592,47.3,46.2,10.1,8.1,,0.512,9.9,25.6,0.398,,0.49,13.3,66,0.124,7,23,0.304,12,16,0.75,17,49,19,3,2,16,23
